etiqueta_duplicaDO,duplicados
"annona dolabripetalalobao, a.; fiaschi, p.; unwin, m.s.n.2000",35535/35536
"annona dolabripetalaloefgren, a.cgg59851899",1115/35897
"annona dolabripetalalombardi, j.a.62292006",853/35711
"annona dolabripetalalopes, j.c.3082011",839/35751
"annona dolabripetalakoscinski, m.s.n.1931",1084/35830
"annona dolabripetalamarchiori, n.m.; toledo, w.; munhoz, i.; cano, g.b.; santos, f.c.5702011",35615
"annona dolabripetalamartins, e.g.a.3262012",837/35749
"annona dolabripetalamartius, c.f.p.s.n.na",35837
"annona dolabripetalamattos, j.r.134651965",1205/35840
"annona dolabripetalamello-silva, r. et al.5841992",1108
"annona dolabripetalamello-silva, r. et al.s.n.1992",35531
"annona dolabripetalamiyagi, p.h.; souza, j.p.; zandoval, j.a.5041995",934/35653
"annona dolabripetalamiyagi, p.h.; zandoval, j.a.; souza, j.p.5041995",938/35852
"annona dolabripetalamorawetz, w.morawetz,-w-14-2812801980",1224
"annona dolabripetalamorawetz, w.41-2812801980",1225
"annona dolabripetalamorawetz, w.s.n.1980",35549/35552
"annona dolabripetalamorawetz, w.; gottsberger, g.k.morawetz,-w;-gottsberger,-gk-11-1912801980",1195
"annona dolabripetalamorawetz, w.; gottsberger, g.k.s.n.1980",35537
"annona dolabripetalamorellato-fonzar, l.p.c.s.n.1994",970/35721
annona dolabripetalanas.n.na,35680/35681
"annona dolabripetalaivanauskas, n.m.; lorza, r.f.; souza, d.; lopes, b.50142004",878/35801
"annona dolabripetalaivanauskas, n.m.; renato f., d.s.l.50142004",879
"annona dolabripetalanicolau, s.a.; mana, j.r.; menezes, a.c.12401996",1163/35912
"annona dolabripetalaaguiar, o.t.; cielo filho, r.; arzolla, f.a.r.d.; baitello, j.b.; vilela, f.e.s.p.8162008",847/35808
"annona dolabripetalagibbs, p.e.35011976",1230/35524
"annona dolabripetalafischer, p.h.s.n.1954",1076/35829
"annona dolabripetalapadgurschi, m.c.g.; belinello, r.m11632009",845/35624
"annona dolabripetalajovin, p.p.5001979",1061
"annona dolabripetalapereira, l.s.; belinello, r.; gomes, j.a.m.a.; rosado, b.h.p.; cavalin, p.o.n1552008",850/35623
"annona dolabripetalapilla, m.a.c.11122005",1136/35528
"annona dolabripetalapilla, m.a.c.182005",877/35525
"annona dolabripetalaprance, g.t.s.n.1978",35533
"annona dolabripetalaprance, g.t.69821978",1114
"annona dolabripetalaqueiroz, j.m.301331993",988/35625
"annona dolabripetalatsuji, r.14052006",1135/35609
"annona dolabripetalapolisel, r.t.6782008",846/35809
"annona dolabripetalarodrigues, r.r.s.n.1992",998/35586
"annona dolabripetalarossi, l.s.n.1979",35543/35544
"annona dolabripetalarossi, l.; catharino, e.l.m.; rodriges, e.h.; campos, m.t.v.a.s.n.1990",1181/35683
"annona dolabripetalarossi, l.; catharino, e.l.m.; rodrigues, e.h.a.; campos, m.t.v.a.7751990",1012/35882
"annona dolabripetalagandolfi, s.; h.f.leitão filho, c.l.f.b.84861984",35677
annona dolabripetalas.col.s.n.1939,1081/35885
"annona dolabripetalamartins, s.e.1281994",960/35826
"annona dolabripetalasakagushi, r.t.1932003",35777
"annona dolabripetalasanches, c.d.; bastos, e.b.; hoffmann, j.r.r.; gorenstein, m.r.; pereira, v.f.411994",966/35851
"annona dolabripetalashepherd, g.j.; tamashiro, j.y.158481984",1046/35650
"annona dolabripetalasilva, a.f.s.n.1978",35550
"annona dolabripetalasilva, a.f.109901978",1228
"annona dolabripetalasimão-bianchini, r.; rossi, l.; queiroz, r.t.16442007",1129/35915
"annona dolabripetalasouza, f.m.; duarte, a.r.; sampaio, d.; bernhardt, r.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; oliveira, a.a.; souza, j.p.; ivanauskas, n.m.; furlan, e.1952001",889/1146/35595/35601
"annona dolabripetalasouza, f.m.; sousa, r.c.; corrêa, w.; garcia, r.l.m.10152007",1130/35675
"annona dolabripetalasouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30004na",1106/35594
"annona dolabripetalasouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30005na",1107/35593/1099/35758/1102
"annona dolabripetalatamashiro, j.y.; rodrigues, r.r.s.n.1986",35532
"annona dolabripetalatamashiro, j.y.; rodrigues, r.r.tamashiro,-jy;-rodrigues,-rr;-et-al-187371986",1110
"annona dolabripetalatamashiro, j.y.; silva, a.f.s.n.1979",35551
"annona dolabripetalatamashiro, j.y.; silva, a.f.1961979",1226
"annona dolabripetalatomasulo, p.l.4901997",35776
"annona dolabripetalatomasulo, p.l.b.3271993",983/35880
"annona dolabripetalavirillo, c.b.1242013",831/35566
"annona dolabripetalayamamoto, k.; marcondes-ferreira, w.; chautems, a.146151983",1049/35655
"annona dolabripetalazipparro, v.b.20552000",900/35724
"annona emarginataregnell, a.f.ii-51905",1407/36013
"annona emarginataarzolla, f.a.r.d.p.2302001",1280/36006
"annona emarginataarzolla, f.a.r.d.p.; santos, j.r.2302001",1279/35985/1278/36053
"annona emarginataassis, m.a.16412002",1277/36008
"annona emarginatapickel, b.54551941",1382/36017/1381/35965
"annona emarginatabrade, a.c.58831912",1405/36108
"annona emarginatabúgola-silva, f.; pelissari, g.; yang, a.m.k.; garrido, c.t.r.; almeida scabbia, r.j.82122008",1258/36079
"annona emarginatacampos, j.b.s.n.1938",1383/36078
"annona emarginatacardoso-leite, e.3091994",1310/36009
"annona emarginatacardoso-leite, e.; oliveira, a.3091994",1309/35968
"annona emarginataceccantini, g.c.t.2126-d2004",1275/36038/1276/36089
"annona emarginatasucre, d.; guimarães, d.j.; braga, p.i.s.29631968",1360
"annona emarginatapickel, b.s.n.1941",1380/36056
"annona emarginatapickel, b.s.n.1943",1378/36054
"annona emarginatahoehne, f.c.25261918",1400/36016
"annona emarginatahoehne, f.c.284201931",1392/1395/35923/36024
"annona emarginatahoehne, f.c.28420na",1422/35918/36011
"annona emarginatahoehne, f.c.s.n.1931",1394/1396/1397/35924/36014/36020/1393/36003/1399/35946/1398/36106
"annona emarginatafiaschi, p.fiaschi,-p;-et-al-5152000",1284
"annona emarginatafiaschi, p.s.n.2000",35952
"annona emarginatagandolfi, s.; leitão filho, h.f.; bezerra, c.l.f.1484na",1420/35971
"annona emarginatagandolfi, s.; leitão filho, h.f.; bezerra, c.l.f.81911984",1343/35969
"annona emarginatagaudichaud-beaupré, c.s.n.1833",1415/35997
"annona emarginataglaziou, a.f.m.s.n.1879",1411
"annona emarginataglaziou, a.s.n.1879",35995
"annona emarginataglaziou, a.f.m.s.n.1881",1410/35999
"annona emarginataglaziou, a.f.m.11784-a1879",1412/35962
annona emarginatagorceixs.n.na,1417/35994
"annona emarginatagorgatti, l.11977",1356/1355/36105/1354/35922
"annona emarginatagorgatti, l.s.n.1977",35947
"annona emarginatagottsberger, g.k.71072/-111972",1357
"annona emarginatagottsberger, g.k.s.n.1972",35950
"annona emarginatagottsberger, i.s.; gottsberger, g.k.181069/-131969",1359
"annona emarginatagottsberger, i.s.; gottsberger, g.k.s.n.1969",35949
"annona emarginataleitão filho, h.f.106121979",1348/1349/35919/35925
"annona emarginataserafim, h.1852007",1262
"annona emarginataleitão filho, h.f.3311968",1433/1423/36068
"annona emarginatahoehne, f.c.herb284201931",1391/36039
"annona emarginatahoehne, f.c.s.n.1917",1403/36102
"annona emarginatahoehne, f.c.s.n.1918",1401/1402/36100/36101
"annona emarginatahoehne, w.s.n.1938",1384/36064
"annona emarginatahoehne, w.s.n.1944",1373/36066
"annona emarginatabettiol neto, j.e.s.n.2005",1270/36021/1267/1268/1265/1266/1269/36026/36032/36033
"annona emarginatacoelho, j.p.s.n.1945",1371/36058
"annona emarginatajaneiro, h.c.s.n.1985",1340/36107
"annona emarginatakoscinski, m.s.n.1937",1388/35966
"annona emarginatakoscinski, m.s.n.1933",1390/36103
"annona emarginatabrown jr, k.s.186681986",1336/35982
"annona emarginatabrown jr, k.s.209511988",1330/35983
"annona emarginatabernacci, l.c.41142006",1263/36027
"annona emarginataleitão filho, h.f.; martins, f.r.; barros, r.c.s.n.1979",1347
"annona emarginataleitão filho, h.f.; martins, f.r.; barros, r.c.106121979",1350/35980/36088
"annona emarginataleitão filho, h.f.; shepherd, g.j.; tamashiro, j.y.; yamamoto, k.130971981",1346/35981
"annona emarginataloefgren, a.cgg2631887",1409/36109
"annona emarginatacunha, m.a.s.n.1951",1369/36040
"annona emarginatakoscinski, m.126na",1419/36057
"annona emarginatamaas, p.j.m.70981987",1333
"annona emarginatamaas, p.j.m.s.n.1987",35951
"annona emarginatamarcondes-ferreira, w.150691983",1344/35972
"annona emarginatamelo, m.m.r.f.387981999",1291
"annona emarginatamelo, m.m.r.f.s.n.1999",35943
"annona emarginatamorawetz, w.; gottsberger, g.k.21-193811981",1345
"annona emarginatamorawetz, w.; gottsberger, g.k.s.n.1981",35944
annona emarginatanas.n.na,35991
"annona emarginataoliveira, m.a.s.n.1984",35948
"annona emarginataoliveira, m.a.430801984",1342
"annona emarginatadolgi, p.s.n.1951",1368/36059
"annona emarginatatomasulo, p.l.b.621990",1328/36055/1329/36091
"annona emarginatapickel, b.8271943",1379/36090
"annona emarginatapirani, j.r.; silva, r.m.s.n.1985",1337/36065
"annona emarginataregnell, a.f.s.n.1866",1413/1414/35996/35998
"annona emarginataribeiro, l.p.162011",1249/35959
"annona emarginatasilva, f.b.; pelisari, g.; scabbia, r.j.a.; yang, a.m.k.; garrido, c.t.r.s.n.na",1421/35993
"annona emarginatabarreto, t.e.2132013",1427/36060
"annona emarginatapires, t.p.692014",1238/36037
"annona emarginatatoledo junior, f.t.1241912",1404
"annona emarginatatatagiba, f.c.p.; farág, p.r.s.n.1998",35945
"annona emarginatatatagiba, f.c.p.; farág, p.r.341998",1293
"annona emarginatausteri, a.s.n.1906",1406/36104
"annona xylopiifoliahoehne, f.c.s.n.1918",1438/36112
"duguetia salicifoliadias, a.c.5001992",1462/36136
"duguetia salicifoliabenedito, a.l.d.22001",1449/36151
"duguetia salicifolialemos, c.283131931",1476/36114
"duguetia salicifoliapaula, c.h.r.8742005",1445
"duguetia salicifoliacordeiro, i.9141992",1459/1460/1461
"duguetia salicifoliacordeiro, i.9151992",1458
"duguetia salicifoliacordeiro, i.s.n.1992",36119/36120/36122/36123
"duguetia salicifoliacordeiro, i.; maas, p.j.m.; zuiten, c.m.; dias, m.c.9141992",1456/1457/36140/36141
"duguetia salicifoliacordeiro, i.; maas, p.j.m.; zuiten, c.m.; dias, m.c.9151992",1455/36142
"duguetia salicifoliafarney, c.; i.c.silva, l.c.s.s.31571992",1454
"duguetia salicifoliaedwall, g.cgg19881892",1482/36147
"duguetia salicifoliaehrendorfer, f.; gottsberger, g.k.73825-13421973",1472
"duguetia salicifoliaehrendorfer, f.; gottsberger, g.k.73825-1381973",1471
"duguetia salicifoliaehrendorfer, f.; gottsberger, g.k.s.n.1973",36124/36125
"duguetia salicifoliaehrendorfer, f.73825-131973",1469/36116
"duguetia salicifoliahoehne, f.c.s.n.1936",1474/36115/1473/36133
"duguetia salicifoliaehrendorfer, f.73825-13421973",1470/36113
"duguetia salicifoliahoehne, f.c.; gehrt, a.s.n.1936",36117
"duguetia salicifoliaizar, p.16101996",1451/36132
"duguetia salicifoliakuhlmann, j.g.s.n.1922",1480/1481
"duguetia salicifoliakuhlmann, j.g.196761922",1479/36129
"duguetia salicifoliakirizawa, m.; chiea, s.a.c.23561990",1466/36150
"duguetia salicifoliakirizawa, m.; lopes, e.a.; sobral, m.25241991",1464/36148
"duguetia salicifoliakiyama, c.y.451994",1452/36130
"duguetia salicifoliakiyama, c.y.; mariano neto, e.; sugiyama, m.1021996",1450/36153
"duguetia salicifoliakiyama, c.y.; simão bianchini, r.; shirasuna, r.t.; rossi, l.451994",1453/36144
"duguetia salicifoliakondrat, h.1762013",1440/36143
"duguetia salicifoliabernacci, l.c.; montero, d.a.v.48722013",1439/36134
"duguetia salicifolialemos, c.herb283131931",1475/36135
"duguetia salicifolialemos, c.s.n.1931",1477/1478/36145/36146
"duguetia salicifoliaromaniuc neto, s.s.n.1989",36118/36121
"duguetia salicifoliaromaniuc neto, s.8151989",1467/1468
"duguetia salicifoliasimão-bianchini, r.; grantsau, i.; simone, l.w.15672003",1446/36152
"duguetia salicifoliasugiyama, m.; lopes, e.a.8331990",1465/36149
"trigynaea oblongifoliahoehne, f.c.79741922",1486/36154
"trigynaea oblongifoliafarney, c.s.n.1990",36155
"trigynaea oblongifoliaserafim, h.1922007",1485
"trigynaea oblongifoliaserafim, h.3872008",1484
"trigynaea oblongifoliahoehne, f.c.s.n.1922",1487/1488/36158/36159
"trigynaea oblongifoliastefani, e.j.f.; belinello, r.; galvão, j.c.2612011",1483/36156
"xylopia brasiliensisgentry, a.; zardini, e.492031985",36216
"xylopia brasiliensisrodrigues, a.s.n.1944",1621/36289
"xylopia brasiliensisaguiar, o.t.; nakagomi, m.s.n.1979",1603/36326
"xylopia brasiliensisgentry, a.h.; zardini, e.m.492031985",1591/36232/1592/1589/1590/36199/36200
"xylopia brasiliensisbaitello, j.b.; pastore, j.a.7911995",1554/36309/1552/36278
"xylopia brasiliensisbaitello, j.b.; pastore, j.f.b.7911995",1553/36210
"xylopia brasiliensisbenko-iseppon, a.m.s.n.1993",1568/36243
"xylopia brasiliensiscabral, f.n.8922013",1497/36249/1505/36165/1500
"xylopia brasiliensiscabral, f.n.; potascheff, c.m.; liboni, a.p.; fagundes, i.c.; souza, v.c.; rodri; potascheff, c.m.; liboni, a.p.; fagundes, i.c.; souza, v.c.; rodrigues, r.r.8922013",1498/36224
"xylopia brasiliensiscarvalho, j.d.s.n.1986",1588/36322
"xylopia brasiliensisconforti, t.b.; saviani, e.r.94-362004",1527/36187
"xylopia brasiliensispickel, b.s.n.1945",1613/36288/1614/36179
"xylopia brasiliensispickel, b.s.n.1950",1610/36280/1611/36296
"xylopia brasiliensisequipe, f.e.p.a.f.1092006",36261
"xylopia brasiliensisarzolla, f.a.r.d.p.; vilela, f.e.s.p.; baitello, j.b.15622012",1508/36290
"xylopia brasiliensisarzolla, f.a.r.d.p.; paula, g.r.c.; vilela, f.e.s.p.; leite, m.o.10112006",1518/36271
"xylopia brasiliensishoehne, f.c.s.n.1933",1635/36231/1638/36161/1636/36318
"xylopia brasiliensissouza, f.m.2462001",1531/36287
"xylopia brasiliensissouza, f.m.; sousa, r.c.; pereira, h.f.a.; silva, j.m.9202007",1517/36272
"xylopia brasiliensisferes, f.s.n.1996",1546/36171
"xylopia brasiliensisgentry, a.h.; zardini, e.m.s.n.1985",36162
"xylopia brasiliensisgoldenberg, r.; martins, e.279081992",1574/1575/36211
"xylopia brasiliensisgoldenberg, e.; martins, e.279081992",36212
"xylopia brasiliensisgottsberger, g.k.1175/-111975",1605
"xylopia brasiliensisgottsberger, g.k.s.n.1975",36164
"xylopia brasiliensisserafim, h.1932007",1516
"xylopia brasiliensishandro, o.287741933",1634/36265
"xylopia brasiliensishandro, o.s.n.1933",1637/36319
"xylopia brasiliensishoehne, w.s.n.1944",1627/36163/1622/1623/36213/36295/1624/36225/1625/1626/36160
"xylopia brasiliensishoehne, f.c.s.n.1924",1641/36300
"xylopia brasiliensisizar, p.17441997",1541/36240
"xylopia brasiliensisizar, p.17481997",1540/36239
"xylopia brasiliensisbaitello, j.b.; aguiar, o.t.s.n.1981",1598/36283
"xylopia brasiliensiscoelho, j.p.7861940",1632/36292
"xylopia brasiliensislima, j.f.s.n.1945",1615
"xylopia brasiliensiskondrat, h.242012",1509/36303
"xylopia brasiliensiskoscinski, m.s.n.1929",1640/36297
"xylopia brasiliensiskoscinski, m.s.n.1939",1633/36183
"xylopia brasiliensiskoscinski, m.94na",1652/36325
"xylopia brasiliensiskuhlmann, m.5081945",1617/1619/1620/36298/36320/36321/1616/36299/1618/36246
"xylopia brasiliensiskuntz, j.10082013",1496/36250/1504/36167
"xylopia brasiliensiskuntz, j.; colletta, g.d.; girão, v.j.; moreno, v.s.; souza, v.c.; rodrigues, r.r.10082013",1495/36196
"xylopia brasiliensisloefgren, a.cgg59821899",1643/36308
"xylopia brasiliensiskoscinski, m.s.n.na",1646/36260
"xylopia brasiliensisgonzaga, m.s.n.1948",1612/36279
"xylopia brasiliensiskoscinski, m.661929",1639/36291
xylopia brasiliensisnas.n.na,36217/36218/36219/36220/36221
"xylopia brasiliensisaguiar, o.t.; nakaoka, m.s.n.1979",1602/36284
"xylopia brasiliensisaguiar, o.t.; nakaoka, m.s.n.1981",1597/1599/36281/36282
"xylopia brasiliensishandro, o.28774na",36241
"xylopia brasiliensispadgurschi, m.c.g.; belinello, r.m14832009",1512/36197
"xylopia brasiliensispetri, l.; biasoli, s.m.9082016",1491/36323
"xylopia brasiliensispickel, b.46191940",1630/36294/1631/36185
"xylopia brasiliensispickel, b.s.n.1941",1629/36184
"xylopia brasiliensispirani, j.r.; garcia, r.f.31371994",1561/36175/1560/36301
"xylopia brasiliensispirani, j.r.; garcia, r.j.f.31371994",1559/36201
"xylopia brasiliensispolisel, r.t.10682013",1506/36168
"xylopia brasiliensisriedel, l.1687na",1650/1651/36244/36245
"xylopia brasiliensisriedel, l.; luschnatt, b.s.n.1833",1644/36227
xylopia brasiliensissem coletors.n.na,1647/1648/36262/36263
"xylopia brasiliensissilva, a.f.; martins, f.r.12471985",1594/36188/1593/36202
"xylopia brasiliensistomasulo, p.l.b.s.n.1992",1573/36228
"xylopia brasiliensistomasulo, p.l.b.3341992",1576/36314
"xylopia brasiliensisvendemiatti, e.22008",1514/36169
"xylopia brasiliensisyoung, m.c.m.101999",1535/36324
"apium prostratumgehrt, a.s.n.1920",1723/36381
"apium prostratumkuhlmann, m.s.n.1940",1722/36379
"eryngium eurycephalumvauthier, a.s.n.1839",1682/36338
"eryngium eurycephalumbrade, a.c.128651933",1680
"eryngium eurycephalumsucre, d.; guimarães, d.j.; braga, p.i.s.29421968",1670
"eryngium eurycephalumhoehne, w.s.n.1942",1676/36339/1677/36329
"eryngium eurycephalumharshberger, j.w.c.33141927",1681/36328
"eryngium eurycephalummarkgraf, f.; duarte, a.p.102801952",1671
"eryngium eurycephalumdansereau, p.s.n.1946",1672
"eryngium eurycephalumsouza, v.c.36321993",1662
"eryngium koehneanumglaziou, a.f.m.82371876",1720/36378
"eryngium koehneanumhoehne, w.s.n.1949",1714/1715/36376/36377
"eryngium scirpinumpickel, b.45981940",1703/36356/1702/36352
"eryngium scirpinumbrade, a.c.130811933",1705
"eryngium scirpinumbrade, a.c.59901912",1708/36361
"eryngium scirpinumbrade, a.c.s.n.1912",1709/1710/36371/36373
"eryngium scirpinumpickel, b.s.n.1942",1690/36367
"eryngium scirpinumhoehne, f.c.s.n.1921",1706
"eryngium scirpinumgibbs, p.e.; leitão filho, h.f.; semir, j.17201976",1685/36355
"eryngium scirpinumgibbs, p.e.; leitão filho, h.f.; semir, j.17391976",1684/36354
"eryngium scirpinumhashimoto, g.991938",1704
"eryngium scirpinumhoehne, w.s.n.1941",1698/1700/36364/36366/1696/1695/36359/36365/1693/1697/36351/36357/1694/36358/1692/1701/36349/36353/1699
"eryngium scirpinumhoehne, w.s.n.1942",1689/36360/1688
"eryngium scirpinumhoehne, w.s.n.na",1711/36370
"eryngium scirpinumjoly, a.b.5191947",1687/36363
"eryngium scirpinumjoly, a.b.s.n.1977",1683/36372
"eryngium scirpinumlund, p.w.1001na",36368
"eryngium scirpinumpickel, b.s.n.1941",1691/36350
"eryngium scirpinumriedel, l.1406na",36369
"eryngium scirpinumsemir, j.s.n.1968",1686/36362
"eryngium scirpinumtoledo junior, f.t.2091912",1707
"asclepias aequicornubrade, a.c.129091933",1731
"asclepias aequicornugehrt, a.s.n.1936",1730/36392
"asclepias aequicornuhoehne, f.c.s.n.1917",1734/36390
"asclepias aequicornuhoehne, f.c.s.n.1918",1732/1733/36388/36391
"asclepias aequicornulima, j.l.s.n.1946",1729
"asclepias aequicornujoly, a.b.s.n.1959",1727/36389
"asclepias aequicornuloefgren, a.cgg2471887",1735/36393
"asclepias aequicornuloefgren, a.2471887",1736/36386
asclepias aequicornunas.n.na,1737
"asclepias aequicornusaint-hilaire, a.f.c.p.s.n.na",36387
"asclepias langsdorffiilangsdorff, g.h.s.n.na",36395
"aspidosperma compactinerviumalmeida-scabbia, r.j.s.n.1994",1741
"aspidosperma compactinerviumguilherme, f.a.g.2492001",1740
aspidosperma compactinerviumnas.n.1932,1742/36396
"aspidosperma parvifoliumcustodio filho, a.; gentry, a.h.46521987",1766/36418
"aspidosperma parvifoliumbernacci, l.c.s.n.1987",1767/36414
"aspidosperma parvifoliumchiea, s.a.c.8401996",1753/36449
"aspidosperma parvifoliumhoehne, f.c.284531931",1776/1777/36425
"aspidosperma parvifoliumhoehne, f.c.285441931",1778/1775/36417
"aspidosperma parvifoliumfarah, f.t.; gorenstein, m.r.231997",1752/36403
"aspidosperma parvifoliumfurlan, a.531998",1751/36424
"aspidosperma parvifoliumguillemin, j.b.a.6041839",36442/36453
