especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Plinia muricata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Plinia phitrantha,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,NT,NA,NA
Plinia pseudodichasiantha,sima-SP_oficial-cncflora_ckan-mpoSP,NA,NA,VU,VU,NA,LC,NA,VU,NA
Plinia rara,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Plinia renatiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Plinia rivularis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Plinia rogersiana,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,CR*,CR,NA,NA
Plinia silvestris,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,EN,EN,NA,NA
Plinia subavenia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Poa bradei,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,CR,CR,NA,EN,NA,NA,EN
Poa reitzii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Podocarpus acuminatus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Podocarpus barretoi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Podocarpus brasiliensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Podocarpus lambertii,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,NT,NA,NA
Podocarpus sellowii,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,EN,NA,NA
Podostemum distichum,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Podostemum muelleri,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Podostemum ovatum,sima-SP_oficial-cncflora_web-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,EN,LC,NA,EN
Podostemum rutifolium,sima-SP_oficial-Portaria 443/2014,VU,NA,EN,EN,NA,NA,NA,NA,VU
Podostemum saldanhanum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Podostemum weddellianum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Poecilanthe parviflora,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,DD,NA,NA
Pogoniopsis schenckii,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Poikilacanthus guillesii,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poiretia angustifolia,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Poiretia latifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Polybotrya speciosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Polygala bevilacquai,cncflora_web,NA,NA,NA,NA,NA,CR,NA,NA,NA
Polygala brasiliensis,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Polygala franchetii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Polygala galioides,sima-SP_oficial-mpoSP,NA,LC,EX,EX,NA,NA,NA,EX,NA
Polygala hastchbachii,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala molluginifolia,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Polygala moquiniana,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Polygala nudicaulis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Polygala pulchella,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Polygala pumila,sima-SP_oficial-cncflora_web-mpoSP,NA,NT,EX,EX,NA,NT,NA,EX,NA
Polygala sabulosa,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Polygala selaginoides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Polygala stephaniana,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Polygala tamariscea,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EX,EX,NA,VU,NA,NA,VU
Polygonum punctatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Polypogon chilensis,sima-SP_oficial-mpoSP,NA,NA,CR,CR,NA,NA,NA,CR,NA
Polypogon imberbis,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Polystachya rupicola,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Polystichum bradei,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Polytaenium feei,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Pomaria stipularis,sima,NA,NT,NA,NA,NA,NA,NA,NA,NA
Pombalia strigoides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pombalia velutina,sima,NA,DD,EN,NA,NA,NA,NA,NA,NA
Porcelia macrocarpa,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Porophyllum bahiense,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Portea alatisepala,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Portea fosteriana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Portea grandiflora,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Portea kermesina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Portea nana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Portulaca amilis,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Portulaca cryptopetala var. poellniztiana,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portulaca halimoides,sima-SP_oficial-mpoSP,NA,LC,EX,EX,NA,NA,NA,EX,NA
Portulaca hatschbachii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Posoqueria acutifolia,sima-cncflora_ckan,NA,DD,NA,NA,NA,DD,NA,NA,NA
Posoqueria latifolia,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Posoqueria longiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Potamogeton pusillus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pourouma guianensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pouteria bapeba,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pouteria beaurepairei,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/cd,NA,NA
Pouteria brevensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria bullata,sima-SP_oficial-cncflora_ckan-UICN_API-mpoSP-Portaria 443/2014,EN,NA,EN,EN,NA,EN,VU,EN,EN
Pouteria butyrocarpa,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pouteria caimito,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pouteria ciliata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria coelomatica,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pouteria crassiflora,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria decussata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pouteria ericoides,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria exstaminodia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria fulva,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria furcata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pouteria gardneri,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pouteria gardneriana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pouteria glomerata,sima-SP_oficial,NA,LC,VU,VU,NA,NA,NA,NA,NA
Pouteria latianthera,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria lucens,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria macahensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pouteria maguirei,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria microstrigosa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria multiflora,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pouteria nudipetala,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria oxypetala,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,NT,EN,NA,EN
Pouteria pachycalyx,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pouteria pachyphylla,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria pallens,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria peduncularis,cncflora_web-UICN_API,NA,NA,NA,NA,NA,VU,DD,NA,NA
Pouteria petiolata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pouteria polysepala,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria psammophila,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,"NT, quase chegando à VU",EN,NA,NA
Pouteria pubescens,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria putamen-ovi,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria ramiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pouteria reticulata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Pouteria reticulata subsp. surinamensis,UICN_API,NA,NA,NA,NA,NA,NA,LR/lc,NA,NA
Pouteria rodriguesiana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria salicifolia,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Pouteria samborae,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria scrobiculata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria stenophylla,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria stipulifera,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria subcaerulea,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Pouteria synsepala,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria tarumanensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria tenuisepala,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria torta,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Pouteria trifida,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pouteria venosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pouteria vernicosa,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pouteria virescens,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pradosia brevipes,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Pradosia decipiens,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pradosia granulosa,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pradosia grisebachii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pradosia kuhlmannii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pradosia lactescens,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Pradosia subverticillata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pradosia verticillata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Praecereus euchlorus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Praxelis grandiflora,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,VU,VU,NA,LC,NA,VU,NA
Prepusa hookeriana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Prepusa viridiflora,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Prestonia bahiensis,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Prestonia quinquangularis,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Prestonia riedelii,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Prestonia solanifolia,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Prestonia tomentosa,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Pringleella subulata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Promenaea fuerstenbergiana,cncflora_web,NA,NA,NA,NA,NA,EN,NA,NA,NA
Prosthechea serpentilingua,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Proteopsis argentea,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Protium bahianum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Protium brasiliense,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Protium cordatum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Protium giganteum,sima,VU,NA,NA,NA,NA,NA,NA,NA,NA
Protium icicariba,sima,EN,NA,NA,NA,NA,NA,NA,NA,NA
Protium inodorum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Protium kleinii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Protium ovatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Protium widgrenii,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Pseuderanthemum modestum,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Pseuderanthemum riedelianum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Pseudoacanthocereus brasiliensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pseudobombax grandiflorum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Pseudobombax longiflorum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pseudobombax marginatum,sima-SP_oficial-cncflora_web-UICN_API,NA,LC,EN,EN,NA,LC,LC,NA,NA
Pseudobombax tomentosum,sima-SP_oficial-cncflora_web-UICN_API,NA,LC,VU,VU,NA,LC,LC,NA,NA
Pseudolaelia brejetubensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pseudolaelia canaanensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pseudolaelia cipoensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pseudolaelia citrina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pseudolaelia dutrae,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Pseudolmedia hirtula,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,EN,NA,NA
Pseudolmedia laevigata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pseudolycopodiella benjaminiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pseudopiptadenia leptostachya,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Pseudopiptadenia warmingii,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Pseudotrimezia brevistamina,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pseudotrimezia concava,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pseudotrimezia elegans,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pseudotrimezia gracilis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pseudotrimezia synandra,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pseudotrimezia tenuissima,sima-Portaria 443/2014,EN,DD,NA,NA,NA,NA,NA,NA,EN
Pseudoxandra duckei,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pseudoxandra rionegrensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Psidium araucanum,cncflora_ckan,NA,NA,NA,NA,NA,EN,NA,NA,NA
Psidium australe,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psidium cinereum,UICN_API,NA,NA,NA,NA,NA,NA,LR/nt,NA,NA
Psidium firmum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psidium gaudichaudianum,sima-cncflora_ckan,NA,DD,NA,NA,NA,DD,NA,NA,NA
Psidium giganteum,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Psidium grandifolium,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psidium guajava,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psidium guineense,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psidium longipetiolatum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psidium myrtoides,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psidium ovale,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psidium reptans,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Psidium rufum,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psidium rufum var. widgrenianum,UICN_API,NA,NA,NA,NA,NA,NA,VU,NA,NA
Psidium salutare,sima-SP_oficial-cncflora_web-UICN_API,NA,LC,EX,EX,NA,LC,LC,NA,NA
Psidium sartorianum,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Psidium striatulum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psychotria anceps,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psychotria carthagenensis,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psychotria cupularis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psychotria fluminensis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,VU,VU,NA,NA
Psychotria glaziovii,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,VU,VU,NA,NA
Psychotria laciniata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psychotria loefgrenii,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Psychotria longipes,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psychotria mapourioides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psychotria microcarpa,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Psychotria nemorosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psychotria nuda,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Psychotria paludosa,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Psychotria prunifolia,sima-SP_oficial,NA,LC,EN,EN,NA,NA,NA,NA,NA
Psychotria racemosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Psychotria rhytidocarpa,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Psychotria subspathulata,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Psychotria sutericalyx,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Psychotria tenuifolia,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Pterandra andersonii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Pterandra pyroidea,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Pteris congesta,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Pteris limae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Pteris vittata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pterodon emarginatus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Pteroglossa glazioviana,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Pteroglossa hilariana,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Pteroglossa macrantha,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Pterogyne nitens,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/nt,NA,NA
Pterolepis glomerata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Pterolepis perpusilla,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Pycreus flavescens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Qualea coerulea,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Qualea cordata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Qualea decorticans,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Qualea glaziovii,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Qualea grandiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Qualea magna,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Qualea selloi,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Quaternella glabratoides,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Quesnelia humilis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Quesnelia imbricata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Quesnelia kautskyi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Quesnelia seideliana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Quiina cidiana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Quiina glaziovii,sima-cncflora_ckan,NA,DD,VU,NA,NA,LC,NA,NA,NA
Quiina magallano-gomesii,SP_oficial-cncflora_web-mpoSP,NA,NA,NA,VU,NA,DD,NA,VU,NA
Quiina piresii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Quillaja brasiliensis,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Quillaja lancifolia,sima-cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Racinaea aerisincola,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Racinaea domingosmartinis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Racinaea spiculosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Raddia angustifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Raddia distichophylla,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Raddiella esenbeckii,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Randia armata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Ranunculus flagelliformis,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Rauhiella silvana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Raulinoa echinata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Raulinoreitzia leptophlebia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Ravenia pseudalterna,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Recordia reitzii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Recordoxylon stenopetalum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Regnellidium diphyllum,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Reimarochloa acuta,sima-SP_oficial-mpoSP,NA,NA,CR,CR,NA,NA,NA,CR,NA
Reissekia smilacina,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Reitzia smithii,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EX,EX,NA,VU,NA,NA,VU
Renealmia brasiliensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Renealmia petasites,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Retrophyllum piresii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Rhabdocaulon gracile,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Rhamnidium elaeocarpum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhamnidium glabrum,sima-SP_oficial-cncflora_ckan-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Rhamnus sphaerosperma var. pubescens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Rhipsalis agudoensis,cncflora_web-UICN_API,NA,NA,NA,NA,NA,DD,DD,NA,NA
Rhipsalis burchellii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhipsalis campos-portoana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhipsalis cereoides,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Rhipsalis cereuscula,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhipsalis clavata,UICN_API,NA,NA,NA,NA,NA,NA,NT,NA,NA
Rhipsalis crispata,sima-SP_oficial-cncflora_web-UICN_API,NA,DD,VU,VU,NA,DD,EN,NA,NA
Rhipsalis dissimilis,sima-SP_oficial-cncflora_web-UICN_API,NA,DD,EN,EN,NA,DD,EN,NA,NA
Rhipsalis elliptica,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Rhipsalis floccosa,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Rhipsalis grandiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhipsalis hileiabaiana subsp. hileiabaiana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Rhipsalis juengeri,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhipsalis lindbergiana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhipsalis neves-armondii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Rhipsalis oblonga,cncflora_web-UICN_API,NA,NA,NA,NA,NA,NT,VU,NA,NA
Rhipsalis olivifera,UICN_API,NA,NA,NA,NA,NA,NA,NT,NA,NA
